id,tipo,titulo,calle,barrio,zona,ciudad,localizacion,precio,precio_metro,caracteristicas,habitaciones,baños,referencia,anunciante,nombre,tlf,url,fecha,superficie,superficie_util,terraza,garaje,estado,armarios,trastero,orientacion,calefaccion,planta,ascensor,construccion
106601430,Ventas,Piso en venta en calle Panochista Pepe Ros,Calle Panochista Pepe Ros,El Ranero-San Basilio,Norte,Murcia,"Calle Panochista Pepe Ros, Barrio El Ranero-San Basilio, Distrito Norte, Murcia, Área de Murcia, Murcia",93.000€,894 ,"['104 m² construidos', '1 habitación', '1 baño', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero', 'Construido en 2009', 'Planta 5ª exterior', 'Con ascensor']",,1,24VIV23305,Profesional,Bhorus,34919387208,https://www.idealista.com/inmueble/106601430/,2024-11-21 12:07:05,104,,Terraza,Plaza de garaje,Segunda mano/buen estado,,Trastero,,,,Sí,2009
106591886,Ventas,Estudio en venta en Vista Alegre,,Vista Alegre,Norte,Murcia,"Barrio Vista Alegre, Distrito Norte, Murcia, Área de Murcia, Murcia",110.000€,2.000 ,"['55 m² construidos', 'Sin habitación', '1 baño', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Construido en 2006', 'Planta 2ª exterior', 'Con ascensor']",,1,20707A3-NA,Profesional,Pisocasion.es El Carmen,34868350912,https://www.idealista.com/inmueble/106591886/,2024-11-21 12:07:05,55,,,,Segunda mano/buen estado,Armarios empotrados,Trastero,sur,,,Sí,2006
103923622,Ventas,Piso en venta en manuel el zurzo s/n,,Beniaján,Este,Murcia,"manuel el zurzo s/n, Barrio Beniaján, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia",189.900€,1.266 ,"['150 m² construidos, 135 m² útiles', '4 habitaciones', '2 baños', 'Terraza y balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Planta 1ª exterior', 'Sin ascensor']",4,2,103923622,Profesional,INMOAMM *,34868350946,https://www.idealista.com/inmueble/103923622/,2024-11-21 12:07:05,150,,Terraza,,Segunda mano/buen estado,Armarios empotrados,Trastero,,,,No,
106600169,Ventas,Ático en venta en Sangonera la Verde,,Sangonera la Verde,Este,Murcia,"Barrio Sangonera la Verde, Distrito Pedanías Oeste, Murcia, Área de Murcia, Murcia",550.000€,3.793 ,"['145 m² construidos, 133 m² útiles', '4 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'exterior', 'Con ascensor']",4,2,1332,Profesional,PERPETUA .,34936173943,https://www.idealista.com/inmueble/106600169/,2024-11-21 12:07:05,145,,Balcón,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,,,,,Sí,
106600098,Ventas,"Casa o chalet en venta en avenida de la Juventud, 3","Avenida de la Juventud, 3",Cabezo de Torres,Norte,Murcia,"Avenida de la Juventud, 3, Barrio Cabezo de Torres, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia",180.000€,1.111 ,"['Casa o chalet', '162 m² construidos, 143 m² útiles', '5 habitaciones', '3 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'No dispone de calefacción']",5,3,001467,Profesional,INMOBILIARIA Y SEGUROS MELLIZO,34868350489,https://www.idealista.com/inmueble/106600098/,2024-11-21 12:07:05,162,,Terraza,Plaza de garaje,,,,,,,,
106604295,Ventas,Piso en venta en San Andrés-San Antolín,,San Andrés-San Antolín,Centro,Murcia,"Barrio San Andrés-San Antolín, Distrito Centro, Murcia, Área de Murcia, Murcia",72.260€,1.147 ,"['63 m² construidos, 50 m² útiles', '3 habitaciones', '1 baño', 'Segunda mano/para reformar', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Planta 3ª exterior', 'Sin ascensor']",3,1,RP2542024132319,Profesional,REDPISO MURCIA SAN ANTON,34868355696,https://www.idealista.com/inmueble/106604295/,2024-11-21 12:07:05,63,,,,,Armarios empotrados,Trastero,sur,,,No,
106598836,Ventas,Piso en venta en calle Santa Joaquina de Vedruna,Calle Santa Joaquina de Vedruna,Infante Juan Manuel,Sur,Murcia,"Calle Santa Joaquina de Vedruna, Barrio Infante Juan Manuel, Distrito Sur, Murcia, Área de Murcia, Murcia",238.500€,2.168 ,"['110 m² construidos, 90 m² útiles', '4 habitaciones', '2 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1977', 'Calefacción individual', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 7ª exterior', 'Con ascensor']",4,2,Puj00343,Profesional,Inmobiliaria Pujante,34868350423,https://www.idealista.com/inmueble/106598836/,2024-11-21 12:07:05,110,,Terraza,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,Trastero,,individual,,Sí,1977
106598401,Ventas,Casa o chalet independiente en venta en La Albatalía,,La Albatalía,Este,Murcia,"Barrio La Albatalía, Distrito Pedanías Oeste, Murcia, Área de Murcia, Murcia",132.000€,910 ,"['Casa o chalet independiente', '145 m² construidos', '3 habitaciones', '1 baño', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Trastero']",3,1,V24-0777,Profesional,Carmen Martínez,34868350639,https://www.idealista.com/inmueble/106598401/,2024-11-21 12:07:05,145,,Terraza,Plaza de garaje,Segunda mano/buen estado,,Trastero,,,,,
83735608,Ventas,"Piso en venta en avenida Ciudad de Almería, 33","Avenida Ciudad de Almería, 33",La Purísima-Barriomar,Sur,Murcia,"Avenida Ciudad de Almería, 33, Barrio La Purísima-Barriomar, Distrito Sur, Murcia, Área de Murcia, Murcia",120.000€,2.000 ,"['60 m² construidos', '2 habitaciones', '2 baños', 'Balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur', 'Planta 1ª exterior', 'Con ascensor']",2,2,83735608,Particular,Juan Carlos,34600813272,https://www.idealista.com/inmueble/83735608/,2024-11-21 12:07:05,60,,Balcón,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,Trastero,sur,,,Sí,
106604533,Ventas,Piso en venta en Puente Tocinos,,Puente Tocinos,Este,Murcia,"Barrio Puente Tocinos, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia",103.000€,1.585 ,"['65 m² construidos, 60 m² útiles', '2 habitaciones', '1 baño', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Construido en 2005', 'No dispone de calefacción', 'Planta 2ª exterior', 'Con ascensor']",2,1,AB-TOCI,Profesional,Condestable Home Shop,34868350203,https://www.idealista.com/inmueble/106604533/,2024-11-21 12:07:05,65,,,Plaza de garaje,Segunda mano/buen estado,,,,,,Sí,2005
104723905,Ventas,Piso en venta en calle Ramón y Cajal,Calle Ramón y Cajal,Lobosillo,,Murcia,"Calle Ramón y Cajal, Barrio Lobosillo, Distrito Campo de Murcia, Murcia, Área de Murcia, Murcia",40.000€,526 ,"['76 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado']",3,2,SRB0000146566,Profesional,Aliseda Inmobiliaria,34919381241,https://www.idealista.com/inmueble/104723905/,2024-11-21 12:07:05,76,,,,Segunda mano/buen estado,,,,,,,
106604027,Ventas,Ático en venta en Cabezo de Torres,,Cabezo de Torres,Norte,Murcia,"Barrio Cabezo de Torres, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia",238.000€,2.017 ,"['118 m² construidos', '4 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 2001', 'Calefacción central', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor']",4,2,30-72-05893,Profesional,Abad Grupo Inmobiliario,34868350159,https://www.idealista.com/inmueble/106604027/,2024-11-21 12:07:05,118,,Terraza,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,,este,central,,Sí,2001
106557414,Ventas,Piso en venta en calle Instituto,Calle Instituto,Beniaján,Este,Murcia,"Calle Instituto, Barrio Beniaján, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia",86.000€,1.075 ,"['80 m² construidos, 77 m² útiles', '2 habitaciones', '1 baño', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 2000', 'Bajo exterior', 'Sin ascensor']",2,1,1345,Profesional,Inmobiliaria LA PROPIEDAD,34868350978,https://www.idealista.com/inmueble/106557414/,2024-11-21 12:07:05,80,,Terraza,,Segunda mano/buen estado,Armarios empotrados,Trastero,,,,No,2000
106608292,Ventas,Piso en venta en Espinardo,,Espinardo,Norte,Murcia,"Barrio Espinardo, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia",115.000€,1.322 ,"['87 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/para reformar', 'Sin ascensor']",3,2,TRCOK241015,Profesional,Trencadis Real Estate,34960374349,https://www.idealista.com/inmueble/106608292/,2024-11-21 12:07:05,87,,,,,,,,,,No,
86720580,Ventas,Piso en venta en La Purísima-Barriomar,,La Purísima-Barriomar,Sur,Murcia,"Barrio La Purísima-Barriomar, Distrito Sur, Murcia, Área de Murcia, Murcia",120.000€,1.622 ,"['74 m² construidos, 69 m² útiles', '2 habitaciones', '2 baños', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación este', 'Planta 1ª exterior', 'Con ascensor']",2,2,31554H5-JM,Profesional,Pisocasion.es El Carmen,34868350912,https://www.idealista.com/inmueble/86720580/,2024-11-21 12:07:05,74,,Terraza,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,Trastero,este,,,Sí,
106544328,Ventas,Casa o chalet independiente en venta en calle Azahar,Calle Azahar,Torreagüera,Este,Murcia,"Calle Azahar, Barrio Torreagüera, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia",269.000€,961 ,"['Casa o chalet independiente', '2 plantas', '280 m² construidos, 165 m² útiles', '4 habitaciones', '3 baños', 'Parcela de 280 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte, oeste', 'Construido en 2002', 'Calefacción central: Gasoil']",4,3,V00187,Profesional,Vibe Gestión Inmobiliaria,34868350228,https://www.idealista.com/inmueble/106544328/,2024-11-21 12:07:05,280,,Terraza,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,Trastero,"norte, oeste",central,,,2002
106448161,Ventas,Piso en venta en El Carmen,,El Carmen,Sur,Murcia,"Barrio El Carmen, Distrito Sur, Murcia, Área de Murcia, Murcia",145.000€,1.295 ,"['112 m² construidos, 105 m² útiles', '3 habitaciones', '2 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 1989', 'No dispone de calefacción', 'Solo acceso exterior adaptado para personas con movilidad reducida', 'Planta 3ª exterior', 'Con ascensor']",3,2,240214,Profesional,Inmotec-viviendas De Murcia,34868350541,https://www.idealista.com/inmueble/106448161/,2024-11-21 12:07:05,112,,Terraza,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,Trastero,,,,Sí,1989
102563699,Ventas,Piso en venta en carril de los Navarros,Carril de los Navarros,Llano de Brujas,Este,Murcia,"Carril de los Navarros, Barrio Llano de Brujas, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia",28.600€,233 ,"['123 m² construidos', '3 habitaciones', '1 baño', 'Segunda mano/buen estado', 'Bajo']",3,1,52656037,Profesional,Aliseda Comercial,34919387978,https://www.idealista.com/inmueble/102563699/,2024-11-21 12:07:05,123,,,,Segunda mano/buen estado,,,,,,,
106620739,Ventas,Piso en venta en San Juan,,San Juan,Centro,Murcia,"Barrio San Juan, Distrito Centro, Murcia, Área de Murcia, Murcia",160.000€,2.000 ,"['80 m² construidos, 75 m² útiles', '2 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación sur', 'Construido en 1988', 'Calefacción individual', 'Solo interior de la vivienda adaptado para personas con movilidad reducida', 'Bajo exterior', 'Con ascensor']",2,2,asm15,Profesional,I Love Murcia servicios inmobiliarios,34868350397,https://www.idealista.com/inmueble/106620739/,2024-11-21 12:07:05,80,,,,Segunda mano/buen estado,Armarios empotrados,,sur,individual,,Sí,1988
106620441,Ventas,Finca rústica en venta en carril el Frances s/n,Carril el Frances s/n,Los Ramos,Este,Murcia,"Carril el Frances s/n, Barrio Los Ramos, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia",72.000€,1.029 ,"['Finca rústica', '1 planta', '70 m² construidos, 65 m² útiles', '1 habitación', '1 baño', 'Parcela de 3.350 m²', 'Terraza', 'Chimenea', 'Segunda mano/para reformar']",,1,106620441,Profesional,INMOAMM *,34868350946,https://www.idealista.com/inmueble/106620441/,2024-11-21 12:07:05,70,,Terraza,,,,,,,,,
106620285,Ventas,"Chalet pareado en venta en F-7, 1",,Beniaján,Este,Murcia,"F-7, 1, Barrio Beniaján, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia",68.000€,850 ,"['Chalet pareado', '1 planta', '80 m² construidos', '2 habitaciones', '1 baño', 'Parcela de 500 m²', 'Segunda mano/para reformar', 'Construido en 1953']",2,1,106620285,Profesional,INMOAMM *,34868350946,https://www.idealista.com/inmueble/106620285/,2024-11-21 12:07:05,80,,,,,,,,,,,1953
106619761,Ventas,Chalet adosado en venta en calle San Antonio,Calle San Antonio,Beniaján,Este,Murcia,"Calle San Antonio, Barrio Beniaján, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia",45.000€,391 ,"['Chalet adosado', '2 plantas', '115 m² construidos, 105 m² útiles', '3 habitaciones', '1 baño', 'Parcela de 145 m²', 'Terraza', 'Segunda mano/para reformar', 'Construido en 1953']",3,1,106619761,Profesional,INMOAMM *,34868350946,https://www.idealista.com/inmueble/106619761/,2024-11-21 12:07:05,115,,Terraza,,,,,,,,,1953
106619687,Ventas,Chalet pareado en venta en calle San Antonio,Calle San Antonio,Beniaján,Este,Murcia,"Calle San Antonio, Barrio Beniaján, Distrito Pedanías Este, Murcia, Área de Murcia, Murcia",159.900€,457 ,"['Chalet pareado', '2 plantas', '350 m² construidos, 329 m² útiles', '5 habitaciones', '3 baños', 'Parcela de 311 m²', 'Terraza y balcón', 'Segunda mano/para reformar', 'Trastero', 'Construido en 1969']",5,3,106619687,Profesional,INMOAMM *,34868350946,https://www.idealista.com/inmueble/106619687/,2024-11-21 12:07:05,350,,Terraza,,,,Trastero,,,,,1969
101117630,Ventas,"Piso en venta en calle Atlántico, 196","Calle Atlántico, 196",Sucina,,Murcia,"Calle Atlántico, 196, Urb. Hacienda Riquelme golf Resort, Barrio Sucina, Distrito Campo de Murcia, Murcia, Área de Murcia, Murcia",99.000€,1.286 ,"['77 m² construidos', '2 habitaciones', '1 baño', 'Terraza', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Solo interior de la vivienda adaptado para personas con movilidad reducida', 'Planta 1ª exterior', 'Con ascensor']",2,1,101117630,Particular,Pedro,34669250266,https://www.idealista.com/inmueble/101117630/,2024-11-21 12:07:05,77,,Terraza,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,,,,,Sí,
106512007,Ventas,Piso en venta en avenida General Primo de Rivera,Avenida General Primo de Rivera,Santa María de Gracia,Norte,Murcia,"Avenida General Primo de Rivera, Barrio Santa María de Gracia, Distrito Norte, Murcia, Área de Murcia, Murcia",197.000€,2.189 ,"['90 m² construidos', '3 habitaciones', '1 baño', 'Segunda mano/buen estado', 'No dispone de calefacción', 'Planta 5ª exterior', 'Con ascensor']",3,1,PISG15,Profesional,Inmogestion,34868350925,https://www.idealista.com/inmueble/106512007/,2024-11-21 12:07:05,90,,,,Segunda mano/buen estado,,,,,,Sí,
106618359,Ventas,Piso en venta en avenida de la Libertad,Avenida de la Libertad,San Miguel,Centro,Murcia,"Avenida de la Libertad, Barrio San Miguel, Distrito Centro, Murcia, Área de Murcia, Murcia",459.000€,2.623 ,"['175 m² construidos, 140 m² útiles', '4 habitaciones', '3 baños', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/para reformar', 'Armarios empotrados', 'Calefacción individual', 'Planta 5ª exterior', 'Con ascensor']",4,3,106618359,Profesional,HOUSE MURCIA,34868355232,https://www.idealista.com/inmueble/106618359/,2024-11-21 12:07:05,175,,Terraza,Plaza de garaje,,Armarios empotrados,,,individual,,Sí,
106618007,Ventas,Piso en venta en plaza de las Flores,Plaza de las Flores,Santa Catalina-San Bartolomé,Centro,Murcia,"Plaza de las Flores, Barrio Santa Catalina-San Bartolomé, Distrito Centro, Murcia, Área de Murcia, Murcia",220.000€,2.200 ,"['100 m² construidos', '2 habitaciones', '2 baños', 'Balcón', 'Segunda mano/buen estado', 'Armarios empotrados', 'Calefacción individual: Gas natural', 'Planta 2ª exterior', 'Con ascensor']",2,2,106618007,Profesional,Jpl Global Estate,34868355769,https://www.idealista.com/inmueble/106618007/,2024-11-21 12:07:05,100,,Balcón,,Segunda mano/buen estado,Armarios empotrados,,,individual,,Sí,
106617927,Ventas,"Chalet pareado en venta en camino Pinos, 6","Camino Pinos, 6",El Esparragal,Norte,Murcia,"Camino Pinos, 6, Urb. cantalares, Barrio El Esparragal, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia",360.000€,1.925 ,"['Chalet pareado', '2 plantas', '187 m² construidos, 136 m² útiles', '4 habitaciones', '3 baños', 'Parcela de 248 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación sur, este', 'Construido en 2011', 'Calefacción individual', 'Acceso y vivienda adaptados para personas con movilidad reducida']",4,3,106617927,Profesional,GRAN VIA BROKER,34868350829,https://www.idealista.com/inmueble/106617927/,2024-11-21 12:07:05,187,,Terraza,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,Trastero,"sur, este",individual,,,2011
106617750,Ventas,Chalet pareado en venta en Jerónimo y Avileses,,Jerónimo y Avileses,,Murcia,"Barrio Jerónimo y Avileses, Distrito Campo de Murcia, Murcia, Área de Murcia, Murcia",197.500€,859 ,"['Chalet pareado', '3 plantas', '230 m² construidos', '4 habitaciones', '2 baños', 'Terraza', 'Segunda mano/buen estado', 'Armarios empotrados', 'Orientación este', 'Construido en 2007', 'Calefacción individual']",4,2,P7018,Profesional,5 Real Estate,34865440667,https://www.idealista.com/inmueble/106617750/,2024-11-21 12:07:05,230,,Terraza,,Segunda mano/buen estado,Armarios empotrados,,este,individual,,,2007
106442535,Ventas,"Ático en venta en avenida Nueva Condomina, 10","Avenida Nueva Condomina, 10",Churra,Norte,Murcia,"Avenida Nueva Condomina, 10, Barrio Churra, Distrito Pedanías Norte, Murcia, Área de Murcia, Murcia",140.000€,2.000 ,"['Alquilada, con inquilinos', '70 m² construidos, 56 m² útiles', '1 habitación', '1 baño', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Construido en 2008', 'Calefacción central', 'Solo interior de la vivienda adaptado para personas con movilidad reducida', 'Planta 11ª exterior', 'Con ascensor']",,1,106442535,Particular,Dioni,-1,https://www.idealista.com/inmueble/106442535/,2024-11-21 12:07:05,70,,Terraza,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,Trastero,,central,,Sí,2008
106436681,Ventas,Piso en venta en calle Molineros,Calle Molineros,Aljucer,Este,Murcia,"Calle Molineros, Barrio Aljucer, Distrito Pedanías Oeste, Murcia, Área de Murcia, Murcia",75.000€,620 ,"['121 m² construidos', '3 habitaciones', '2 baños', 'Segunda mano/buen estado', 'Planta 2ª', 'Con ascensor']",3,2,CH-68946-0001,,,34965023290,https://www.idealista.com/inmueble/106436681/,2024-11-21 12:07:05,121,,,,Segunda mano/buen estado,,,,,,Sí,
106602338,Ventas,"Casa o chalet independiente en venta en avenida Rincón de Seca, 18","Avenida Rincón de Seca, 18",La Raya,Este,Murcia,"Avenida Rincón de Seca, 18, Barrio La Raya, Distrito Pedanías Oeste, Murcia, Área de Murcia, Murcia",298.000€,1.355 ,"['Casa o chalet independiente', '2 plantas', '220 m² construidos, 175 m² útiles', '4 habitaciones', '3 baños', 'Parcela de 600 m²', 'Terraza y balcón', 'Plaza de garaje incluida en el precio', 'Segunda mano/buen estado', 'Armarios empotrados', 'Trastero', 'Orientación norte, sur, este, oeste', 'Construido en 2022', 'Calefacción individual']",4,3,106602338,Particular,juan,34651935561,https://www.idealista.com/inmueble/106602338/,2024-11-21 12:07:05,220,,Terraza,Plaza de garaje,Segunda mano/buen estado,Armarios empotrados,Trastero,"norte, sur, este, oeste",individual,,,2022
